,City,Lat,Lon,Temp,Humidity,Cloudiness,Windspeed,Country,Date
0,yar-sale,66.83,70.83,13.6,96,0,9.75,RU,1603635121
1,nikolskoye,59.7,30.79,44.6,81,90,2.24,RU,1603635121
2,cabo san lucas,22.89,-109.91,78.8,50,5,16.11,MX,1603635122
3,jamestown,42.1,-79.24,37.99,74,40,5.82,US,1603634952
4,saskylakh,71.92,114.08,9.9,94,100,14.72,RU,1603635122
5,rikitea,-23.12,-134.97,74.61,79,100,18.84,PF,1603635122
6,avarua,-21.21,-159.78,73.4,73,92,9.17,CK,1603635122
7,bluff,-46.6,168.33,45.0,96,100,9.22,NZ,1603635058
8,ostrovnoy,68.05,39.51,29.52,92,68,11.43,RU,1603635089
9,ushuaia,-54.8,-68.3,46.4,61,75,4.7,AR,1603635123
10,kodiak,57.79,-152.41,46.4,87,90,9.17,US,1603635068
11,huilong,31.81,121.66,63.0,84,2,8.12,CN,1603635123
12,pauini,-7.71,-66.98,80.51,82,100,1.23,BR,1603635123
13,gao,16.64,1.64,95.13,8,0,12.24,ML,1603634828
14,thompson,55.74,-97.86,21.2,92,90,6.93,CA,1603635050
15,port alfred,-33.59,26.89,69.64,68,31,17.92,ZA,1603634956
16,ilulissat,69.22,-51.1,15.8,52,28,8.05,GL,1603635124
17,yellowknife,62.46,-114.35,21.99,85,40,8.05,CA,1603634904
18,cururupu,-1.83,-44.87,86.99,59,98,7.02,BR,1603635124
19,puerto ayora,-0.74,-90.35,68.0,94,100,7.0,EC,1603635052
20,hermanus,-34.42,19.23,62.01,83,94,5.99,ZA,1603634891
21,gizo,-8.1,156.84,81.45,76,100,4.81,SB,1603635124
22,cape town,-33.93,18.42,68.0,63,20,26.4,ZA,1603635023
23,itoman,26.12,127.67,73.4,60,75,10.29,JP,1603635125
24,cherskiy,68.75,161.3,11.05,96,100,1.41,RU,1603635063
25,buckeye,33.37,-112.58,68.0,48,100,3.36,US,1603634992
26,albany,42.6,-73.97,42.01,68,34,6.15,US,1603635056
27,russell,32.35,-85.2,69.8,94,90,2.08,US,1603635125
28,beausejour,50.06,-96.52,23.0,98,100,5.99,CA,1603635125
29,bredasdorp,-34.53,20.04,66.2,68,100,9.17,ZA,1603635126
30,puerto escondido,15.85,-97.07,73.4,83,40,8.05,MX,1603635126
31,ponta do sol,32.67,-17.1,71.6,60,20,11.41,PT,1603635102
32,saint george,37.1,-113.58,53.6,54,0,1.43,US,1603634943
33,mataura,-46.19,168.86,45.0,96,100,2.82,NZ,1603635126
34,busselton,-33.65,115.33,64.0,48,0,7.81,AU,1603635126
35,longyearbyen,78.22,15.64,26.6,73,75,10.29,SJ,1603635126
36,van buren,35.44,-94.35,50.0,87,90,6.93,US,1603635127
37,asfi,32.3,-9.24,69.64,61,0,15.46,MA,1603635127
38,vila do maio,15.13,-23.22,87.8,52,0,25.28,CV,1603635127
39,iqaluit,63.75,-68.51,10.4,78,40,12.75,CA,1603635127
40,georgetown,5.41,100.34,80.6,88,40,4.36,MY,1603635127
41,qaanaaq,77.48,-69.36,16.32,86,57,13.22,GL,1603635127
42,zhigansk,66.77,123.37,1.56,88,0,5.97,RU,1603635127
43,semirom,31.42,51.57,45.7,54,0,1.54,IR,1603634946
44,hobart,-42.88,147.33,48.2,66,90,6.93,AU,1603634856
45,salalah,17.02,54.09,84.2,48,0,6.93,OM,1603635128
46,shiyan,32.65,110.78,63.16,54,97,0.34,CN,1603635128
47,bengkulu,-3.8,102.27,76.14,88,100,6.22,ID,1603635128
48,sao gabriel da cachoeira,-0.13,-67.09,90.79,56,88,2.3,BR,1603635128
49,nouadhibou,20.93,-17.03,91.4,31,100,19.46,MR,1603635128
50,mar del plata,-38.0,-57.56,62.6,100,90,6.93,AR,1603635074
51,east london,-33.02,27.91,68.0,72,0,19.46,ZA,1603635129
52,faanui,-16.48,-151.75,79.5,69,58,2.15,PF,1603635129
53,mae sot,16.72,98.57,75.58,85,95,0.47,TH,1603635129
54,olafsvik,64.89,-23.71,41.92,81,100,33.53,IS,1603635129
55,itarema,-2.92,-39.92,88.92,53,5,16.87,BR,1603635052
56,constitucion,-35.33,-72.42,56.68,63,0,8.08,CL,1603635130
57,coroata,-4.13,-44.12,95.09,44,62,4.47,BR,1603635130
58,vaini,-21.2,-175.2,75.2,88,75,10.29,TO,1603635054
59,yulara,-25.24,130.99,69.8,27,1,12.75,AU,1603635015
60,sao filipe,14.9,-24.5,84.2,61,100,16.44,CV,1603635130
61,provideniya,64.38,-173.3,31.96,95,17,4.94,RU,1603635130
62,tuktoyaktuk,69.45,-133.04,28.4,86,75,28.86,CA,1603635130
63,tuatapere,-46.13,167.68,45.0,96,100,4.56,NZ,1603635101
64,carnarvon,-24.87,113.63,71.6,83,90,17.22,AU,1603635131
65,maniitsoq,65.42,-52.9,24.13,84,100,6.6,GL,1603635131
66,hithadhoo,-0.6,73.08,83.71,72,55,6.78,MV,1603634961
67,komatipoort,-25.43,31.95,95.0,31,0,1.99,ZA,1603635131
68,hilo,19.73,-155.09,77.0,83,90,3.36,US,1603635059
69,karratha,-20.74,116.85,69.89,89,0,12.57,AU,1603635132
70,ewa beach,21.32,-158.01,71.6,88,1,3.36,US,1603635132
71,riyadh,24.69,46.72,86.0,16,0,8.05,SA,1603635032
72,sabang,5.89,95.32,82.44,75,100,17.72,ID,1603635132
73,mocajuba,-2.58,-49.51,93.13,45,49,4.43,BR,1603635132
74,ptolemais,40.51,21.68,69.01,45,56,4.7,GR,1603635132
75,atuona,-9.8,-139.03,78.17,75,27,19.82,PF,1603635132
76,fukue,32.69,128.84,59.0,87,75,2.24,JP,1603635133
77,reviga,44.72,27.1,71.6,68,75,20.8,RO,1603635133
78,konotop,51.24,33.2,53.76,71,51,4.72,UA,1603635133
79,aklavik,68.22,-135.01,24.8,92,90,6.93,CA,1603635133
80,birjand,32.87,59.22,71.6,10,0,6.93,IR,1603635133
81,laguna,38.42,-121.42,55.4,76,1,8.05,US,1603635133
82,galapagar,40.58,-4.0,55.99,82,100,4.0,ES,1603635134
83,vardo,70.37,31.11,37.4,86,75,10.29,NO,1603635134
84,meulaboh,4.14,96.13,78.91,73,99,1.07,ID,1603635064
85,broken hill,-31.95,141.43,48.2,61,2,4.7,AU,1603635134
86,kahului,20.89,-156.47,73.4,69,1,4.7,US,1603635134
87,kapaa,22.08,-159.32,71.01,59,6,4.74,US,1603635135
88,rawson,-43.3,-65.1,62.33,29,0,22.82,AR,1603635135
89,banyo,6.75,11.82,81.23,51,3,4.79,CM,1603635135
90,bardiyah,31.76,25.09,73.2,67,0,17.85,LY,1603635135
91,dikson,73.51,80.55,18.55,97,98,10.92,RU,1603635135
92,wellington,-41.29,174.78,61.0,87,30,19.46,NZ,1603634993
93,marovoay,-16.1,46.63,86.0,55,20,13.87,MG,1603635135
94,punta arenas,-53.15,-70.92,42.8,81,75,6.93,CL,1603635135
95,dong hoi,17.48,106.6,67.57,88,100,18.63,VN,1603634961
96,ligayan,4.65,119.47,83.1,74,99,6.26,PH,1603635136
97,forbes,-33.38,148.02,55.0,93,100,8.1,AU,1603635136
98,katsuura,35.13,140.3,60.8,67,0,6.93,JP,1603635124
99,lodja,-3.48,23.43,79.43,92,86,3.02,CD,1603635136
100,acapulco,16.86,-99.89,80.6,88,75,3.36,MX,1603634991
101,new norfolk,-42.78,147.06,42.01,56,0,2.17,AU,1603635137
102,waspan,14.74,-83.97,76.01,94,100,2.68,NI,1603635137
103,zhezkazgan,47.8,67.71,44.04,60,83,11.27,KZ,1603635137
104,bambous virieux,-20.34,57.76,75.2,69,75,12.75,MU,1603635137
105,freeport,40.66,-73.58,51.01,61,1,11.41,US,1603635137
106,port elizabeth,-33.92,25.57,69.8,73,75,19.46,ZA,1603635138
107,dieppe,49.75,1.17,57.0,82,75,13.87,FR,1603635138
